Question,Context
Masaaki Yuasa,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Japan,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Tehran Taboo,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Ali Soozandeh,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Germany,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Arthur,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Pins,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Alexis Ducord,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Belgium,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
France,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
OUT OF,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
COMPETITION,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Real,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Katrin Rothe,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Germany,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
Ana,OFFICIAL COMPETITION Animal Crackers   Tony Bancroft  Scott Christian Sava  Jaime Maestro  US  Spain  China  A Silent Voice   Naoko Yamada  Japan  Big Fish  Begonia   Xuan Liang  Chun Zhang  China  Ethel and Ernest   Roger Mainwood  UK  In This Corner of the World   Sunao Katabuchi  Japan  Loving Vincent   Dorota Kobiela  Hugh Welchman  Poland  UK  Lu Over the Wall   Masaaki Yuasa  Japan  Tehran Taboo   Ali Soozandeh  Germany  Zombillenium   Arthur de Pins  Alexis Ducord  Belgium  France  OUT OF COMPETITION 1917 The Real October   Katrin Rothe  Germany  Ana y Bruno   Carlos Carrera  Mexico  Ancien and the Magic Tablet   Kenji Kamiyama  Japan  Deep   Julio Soto  Spain  I ll Just Live in Bando   Yong Sun Lee  South Korea  In the Forest of Huckybucky   Rasmus A Sivertsen  Norway  Little Heroes   Juan Pablo Buscarini  Venezuela  Lost in the Moonlight   Hyunjoo Kim  South Korea  Richard the Stork   Reza Memari  Toby Genkel  Germany  Belgium  Luxembourg  Norway  Rudolph the Black Cat   Kunihiko Yuyama  Motonori Sakakibara  Japan Tadeo Jones 2  and the Secret of King Midas   Enrique Gato  David Alonso  Spain  Tea Pets   Gary Wang  China  The Man Who Knew 75 Languages   Anne Magnussen  Pawel Debski  Norway  ANNECY INTL 
